Experiment 1,Experiment 2,Experiment 2 shifted
0.533232747,1.095906586,-0.074612962
0.248071372,1.69850433,0.527984781
0.324796641,1.71569142,0.545171871
0.434597219,1.212805038,0.042285489
0.598779848,1.96405143,0.793531881
0.626384151,1.674232485,0.503712936
0.126777749,1.723563369,0.553043821
0.422763054,1.388349515,0.217829966
0.724193125,1.953293099,0.78277355
0.433088428,1.545132511,0.374612962
0.253817896,1.156914196,-0.013605353
0.525334558,1.581737077,0.411217528
0.371792181,1.399632642,0.229113094
0.102400945,1.649173445,0.478653897
0.335056416,1.715297822,0.544778273
0.38747048,1.903306219,0.73278667
0.282366833,1.834033062,0.663513514
0.674284965,,
0.258869063,,
0.272159538,,
0.242587247,,
0.793531881,,
