time,value,readout,run,experiment,value_raw,value_post_inhib_scaled
1650,0.603902018,iSH2,10,1,1.4594,0.603902018
1665,0.591037192,iSH2,10,1,1.4404,0.591037192
1680,0.644527784,iSH2,10,1,1.5194,0.644527784
1695,0.598214411,iSH2,10,1,1.451,0.598214411
1710,0.651027907,iSH2,10,1,1.529,0.651027907
1725,0.630444185,iSH2,10,1,1.4986,0.630444185
1740,0.620016905,iSH2,10,1,1.4832,0.620016905
1755,0.635590116,iSH2,10,1,1.5062,0.635590116
1770,0.654277968,iSH2,10,1,1.5338,0.654277968
1785,0.635386987,iSH2,10,1,1.5059,0.635386987
1800,0.75841535,iSH2,10,1,1.6876,0.75841535
1815,0.743654655,iSH2,10,1,1.6658,0.743654655
1830,0.741826495,iSH2,10,1,1.6631,0.741826495
1845,0.686101485,iSH2,10,1,1.5808,0.686101485
1860,0.735123244,iSH2,10,1,1.6532,0.735123244
1875,0.672559563,iSH2,10,1,1.5608,0.672559563
1890,0.655293613,iSH2,10,1,1.5353,0.655293613
1905,0.65915306,iSH2,10,1,1.541,0.65915306
1920,0.690638029,iSH2,10,1,1.5875,0.690638029
1935,0.66450212,iSH2,10,1,1.5489,0.66450212
1950,0.70614353,iSH2,10,1,1.6104,0.70614353
1965,0.652923776,iSH2,10,1,1.5318,0.652923776
1980,0.684408745,iSH2,10,1,1.5783,0.684408745
1995,0.685627518,iSH2,10,1,1.5801,0.685627518
2010,0.663486475,iSH2,10,1,1.5474,0.663486475
2025,0.649132038,iSH2,10,1,1.5262,0.649132038
2040,0.653465453,iSH2,10,1,1.5326,0.653465453
2055,0.670528275,iSH2,10,1,1.5578,0.670528275
2070,0.648251813,iSH2,10,1,1.5249,0.648251813
2085,0.631662958,iSH2,10,1,1.5004,0.631662958
2100,-0.267734546,iSH2,10,1,1.1222,-0.267734546
2115,-0.984711711,iSH2,10,1,1.0161,-0.984711711
2130,-0.816448455,iSH2,10,1,1.041,-0.816448455
2145,-0.894160401,iSH2,10,1,1.0295,-0.894160401
2160,-1.212441499,iSH2,10,1,0.9824,-1.212441499
2175,-0.874563475,iSH2,10,1,1.0324,-0.874563475
2190,-1.271232275,iSH2,10,1,0.9737,-1.271232275
2205,-1.179329452,iSH2,10,1,0.9873,-1.179329452
2220,-0.951599665,iSH2,10,1,1.021,-0.951599665
2235,-0.559661158,iSH2,10,1,1.079,-0.559661158
2250,-0.730627438,iSH2,10,1,1.0537,-0.730627438
2265,-0.559661158,iSH2,10,1,1.079,-0.559661158
2280,-0.667106369,iSH2,10,1,1.0631,-0.667106369
2295,-0.707651732,iSH2,10,1,1.0571,-0.707651732
2310,-0.639400371,iSH2,10,1,1.0672,-0.639400371
2325,-0.687379051,iSH2,10,1,1.0601,-0.687379051
2340,-0.437349313,iSH2,10,1,1.0971,-0.437349313
2355,-0.62588525,iSH2,10,1,1.0692,-0.62588525
2370,-0.513033991,iSH2,10,1,1.0859,-0.513033991
2385,-0.65156398,iSH2,10,1,1.0654,-0.65156398
2400,-0.376531269,iSH2,10,1,1.1061,-0.376531269
2415,-0.015001784,iSH2,10,1,1.1596,-0.015001784
2430,-0.273140594,iSH2,10,1,1.1214,-0.273140594
2445,-0.525197599,iSH2,10,1,1.0841,-0.525197599
