Experiment,Run,Rep,Model 1,User 1,User 3
1,1,1,420.22,369.76,373.68
1,1,1,417.86,371.92,369.04
1,1,1,4209.38,371.01,368.71
1,3,2,2840.03,5854.07,3360.59
1,3,2,2844.15,5855.88,7311.59
1,3,2,2819.88,5854.45,4377.94
1,2,3,2871.48,1635.15,1622.43
1,2,3,2869.49,1636.92,1877.12
1,2,3,2870.64,1637.39,1876.24
1,5,4,669.1,524.26,448.55
1,5,4,668.78,524.17,449.99
1,5,4,666.81,528.18,449.28
1,4,5,849.65,598.69,592.58
1,4,5,850.69,598.42,599.42
1,4,5,846.23,599.22,737.66
3,11,6,1218.62,13343.83,6252.2
3,11,6,12128.7,13344.99,6255.13
3,11,6,1217.63,13344.3,6258.43
3,10,7,600.96,406.89,375.85
3,10,7,598.68,389.55,407.5
3,10,7,598.66,394.03,501.88
3,1,8,924.09,1538.47,824.31
3,1,8,923.96,1536.59,121072.14
3,1,8,934.03,1810.64,824.65
3,3,9,771.8,1843.55,1650
3,3,9,774.75,1845.17,1998.1
3,3,9,774,1848.03,968.42
3,2,10,2262.38,61062.52,207802.33
3,2,10,2261.64,61098.24,49628.45
3,2,10,2261.33,138930253.9,NA
3,5,11,2121.97,3647.03,1628.06
3,5,11,2120.45,3647.46,1877.02
3,5,11,2121.04,3647.51,1629.06
3,4,12,949.54,1070.92,2446.82
3,4,12,816.37,1071.21,2164.13
3,4,12,818.12,1073.91,855.19
3,7,13,2287.1,1204.24,1077.19
3,7,13,2289.09,1205.62,5362.71
3,7,13,2287.01,1203.91,1208.14
3,6,14,3107.82,1892.61,1528.86
3,6,14,3109.72,1891.01,1529.45
3,6,14,3108.29,1890.73,1639.82
3,9,15,715.84,NA,286.95
3,9,15,642.19,383.7,351.61
3,9,15,714.23,383.61,1005.75
3,8,16,1929.43,2538.96,1168.05
3,8,16,1927.06,2536.06,1171.84
3,8,16,1930.75,2534.92,1170.54
2,1,17,232.76,292.87,286.17
2,1,17,233.66,300.08,311.83
2,1,17,232.49,292.23,284.75
2,3,18,715.35,1173.03,990.82
2,3,18,712.15,1173.38,992.37
2,3,18,712.58,1174.79,989.22
2,2,19,1235.71,1297.49,1251.12
2,2,19,1235.78,1298.65,1196.08
2,2,19,1235.65,1297.63,1287.54
2,5,20,1677.31,2768.39,2817.61
2,5,20,1678.44,2767.06,2438.16
2,5,20,1677.74,2768.54,2438.72
2,4,21,1411.99,1613.27,1487
2,4,21,1411.28,1616.75,1481.97
2,4,21,1409.78,1613.41,1484.97
2,6,22,469.5,988.83,2072.44
2,6,22,470.23,988.65,664.15
2,6,22,468.33,989.07,662.59
