PH,iSH2,iSH2 random
0.00E+00,0.00E+00,-0.046373626
-2.49E-02,-1.05E-01,0
-2.28E-02,-1.42E-01,-0.107362637
-1.68E-02,-1.16E-01,0.027802198
-6.72E-02,-1.07E-01,-0.064725275
-6.68E-02,-7.63E-02,0.04032967
-3.12E-02,-5.66E-02,-0.105494505
-1.54E-02,-7.49E-02,-0.076263736
5.64E-03,-6.47E-02,-0.048131868
7.36E-02,-4.81E-02,0.05032967
-2.41E-02,-9.51E-02,-0.006813187
-3.67E-03,-5.22E-02,-0.115714286
5.23E-02,-1.32E-02,0.000659341
2.66E-02,-4.64E-02,-0.141978022
9.94E-02,-6.81E-03,-0.056593407
1.18E-01,5.03E-02,-0.052197802
1.46E-01,6.59E-04,0.035494505
2.14E-01,6.60E-02,-0.074945055
1.34E-01,2.78E-02,0.066043956
1.57E-01,4.03E-02,-0.095054945
1.67E-01,3.55E-02,-0.013186813
1.95E-01,5.54E-02,0.137912088
1.72E-01,8.22E-02,0.141318681
1.33E-01,3.85E-02,0.191208791
2.32E-01,1.06E-01,0.176923077
1.73E-01,9.11E-02,0.070879121
1.35E-01,9.66E-02,0.17010989
1.69E-01,4.76E-02,0.105604396
1.99E-01,7.09E-02,0.076043956
1.93E-01,7.60E-02,0.038461538
2.03E-01,9.57E-02,0.10989011
2.00E-01,1.27E-01,0.174945055
2.06E-01,9.85E-02,0.126813187
2.82E-01,1.41E-01,0.096593407
2.46E-01,1.39E-01,0.055384615
2.71E-01,1.70E-01,0.098461538
2.17E-01,1.10E-01,0.171758242
2.89E-01,1.77E-01,0.047582418
2.82E-01,1.75E-01,0.091098901
2.74E-01,1.38E-01,0.082197802
3.28E-01,1.72E-01,0.139230769
2.96E-01,1.91E-01,0.095714286
3.10E-01,1.93E-01,0.247472527
3.00E-01,1.92E-01,0.276043956
2.66E-01,2.29E-01,0.278901099
3.01E-01,2.44E-01,0.229450549
2.98E-01,2.39E-01,0.238571429
3.47E-01,2.57E-01,0.346703297
3.45E-01,2.79E-01,0.289340659
3.09E-01,2.55E-01,0.285934066
2.55E-01,2.46E-01,0.31989011
2.93E-01,2.46E-01,0.246373626
2.90E-01,2.47E-01,0.243736264
3.36E-01,2.89E-01,0.303516484
3.83E-01,2.62E-01,0.191868132
4.00E-01,2.96E-01,0.246043956
4.00E-01,3.03E-01,0.345824176
3.19E-01,3.04E-01,0.256593407
3.91E-01,2.86E-01,0.296483516
3.21E-01,3.20E-01,0.262197802
3.01E-01,2.76E-01,0.303076923
3.62E-01,3.46E-01,0.193076923
4.14E-01,3.47E-01,0.254835165
3.34E-01,3.26E-01,0.314725275
3.22E-01,3.09E-01,0.366153846
3.19E-01,3.12E-01,0.392307692
3.28E-01,2.88E-01,0.327362637
3.62E-01,3.27E-01,0.375494505
3.10E-01,3.15E-01,0.374175824
3.51E-01,3.38E-01,0.383406593
3.44E-01,3.81E-01,0.288241758
3.81E-01,3.39E-01,0.309010989
4.02E-01,3.69E-01,0.338351648
4.31E-01,3.75E-01,0.325824176
4.11E-01,3.92E-01,0.381538462
4.03E-01,3.51E-01,0.393076923
4.07E-01,3.82E-01,0.404615385
3.61E-01,3.66E-01,0.312197802
3.84E-01,3.89E-01,0.351208791
3.65E-01,3.74E-01,0.411318681
4.02E-01,4.11E-01,0.388791209
3.56E-01,3.93E-01,0.369230769
4.29E-01,4.05E-01,0.339230769
3.45E-01,3.83E-01,0.381318681
3.96E-01,4.08E-01,0.477032967
4.06E-01,4.07E-01,0.41021978
3.78E-01,4.08E-01,0.461978022
4.34E-01,3.92E-01,0.441868132
4.12E-01,4.22E-01,0.562637363
3.83E-01,4.10E-01,0.407252747
4.27E-01,4.16E-01,0.440659341
4.38E-01,4.62E-01,0.408351648
4.37E-01,4.41E-01,0.416263736
4.58E-01,4.77E-01,0.550549451
4.27E-01,4.72E-01,0.470879121
4.06E-01,4.42E-01,0.407912088
4.72E-01,4.71E-01,0.422197802
4.43E-01,4.66E-01,0.512197802
4.72E-01,4.89E-01,0.47967033
4.37E-01,4.80E-01,0.392087912
5.09E-01,5.12E-01,0.489010989
5.28E-01,5.63E-01,0.492417582
4.94E-01,5.15E-01,0.515494505
5.53E-01,5.51E-01,0.472197802
4.86E-01,4.92E-01,0.465604396
5.09E-01,5.28E-01,0.457692308
4.58E-01,4.58E-01,0.532417582
4.85E-01,5.13E-01,0.543406593
4.29E-01,4.78E-01,0.54010989
5.22E-01,5.37E-01,0.468901099
4.89E-01,5.47E-01,0.508791209
4.90E-01,5.32E-01,0.637142857
4.66E-01,4.69E-01,0.487582418
5.06E-01,5.26E-01,0.525934066
5.09E-01,5.40E-01,0.555054945
5.20E-01,5.45E-01,0.574835165
4.52E-01,4.88E-01,0.544615385
4.68E-01,5.00E-01,0.540989011
5.01E-01,5.09E-01,0.590879121
4.54E-01,5.31E-01,0.513076923
4.91E-01,5.43E-01,0.49978022
5.28E-01,5.75E-01,0.531428571
5.07E-01,5.41E-01,0.527802198
5.32E-01,5.55E-01,0.546703297
5.04E-01,5.91E-01,0.537142857
5.92E-01,6.37E-01,0.477692308
5.63E-01,5.94E-01,0.593626374
4.84E-01,5.23E-01,0.523076923
4.69E-01,5.70E-01,0.56989011
4.34E-01,5.29E-01,0.529340659
5.02E-01,5.68E-01,0.568461538
5.11E-01,5.63E-01,0.563296703
5.08E-01,5.58E-01,0.558241758
4.47E-01,5.76E-01,0.576483516
4.86E-01,5.89E-01,0.588791209
5.71E-01,6.49E-01,0.649230769
6.06E-01,6.49E-01,0.648571429
5.17E-01,5.98E-01,0.597582418
4.49E-01,5.60E-01,0.55978022
5.45E-01,6.80E-01,0.67956044
5.30E-01,6.17E-01,0.617032967
5.09E-01,6.25E-01,0.624725275
5.53E-01,6.50E-01,0.64967033
5.66E-01,7.11E-01,0.710659341
6.39E-01,6.67E-01,0.666703297
5.05E-01,1.87E-01,NA
2.82E-01,-3.59E-02,NA
1.53E-01,-2.53E-02,NA
9.22E-02,-1.75E-02,NA
1.80E-02,-4.07E-02,NA
9.42E-02,7.14E-02,NA
4.36E-02,3.27E-02,NA
9.04E-02,7.94E-02,NA
3.51E-02,4.85E-02,NA
-1.19E-02,2.02E-02,NA
5.96E-02,5.66E-02,NA
5.96E-02,4.98E-02,NA
4.11E-02,6.27E-02,NA
3.88E-02,2.16E-02,NA
4.43E-02,5.28E-02,NA
4.34E-02,5.31E-02,NA
2.22E-02,5.70E-02,NA
-8.62E-03,4.91E-03,NA
2.34E-02,-1.61E-02,NA
2.93E-02,6.01E-02,NA
5.48E-02,5.31E-02,NA
5.07E-02,2.59E-02,NA
3.49E-03,2.55E-02,NA
4.76E-02,3.45E-02,NA
1.40E-02,2.12E-02,NA
-9.15E-03,5.59E-03,NA
1.65E-03,5.32E-03,NA
-1.05E-02,-1.52E-02,NA
-1.49E-02,3.19E-02,NA
3.42E-02,7.31E-02,NA
7.83E-03,-6.62E-03,NA
-5.97E-02,-9.09E-02,NA
2.90E-02,4.15E-02,NA
8.96E-02,5.70E-02,NA
-9.83E-02,-8.96E-02,NA
2.11E-02,-6.62E-03,NA
