"","time","channel","cd1_fk506.1_Mean","cd1_fk506.2_Mean","cd1_fk506.3_Mean","cd1_fk506.4_Mean","cd1_fk506.5_Mean","cd1_fk506_2.3_Mean","cd1_fk506_2.4_Mean","cd1_fk506_3.1_Mean","cd1_fk506_3.11_Mean","cd1_fk506_3.3_Mean","cd1_fk506_3.5_Mean","cd1_fk506_3.9_Mean","exp1_fk506_1uM.1_Mean","exp1_fk506_1uM.2_Mean","exp1_fk506_1uM.3_Mean","exp2_fk506_1uM.2_Mean","exp2_fk506_1uM.4_Mean","exp2_fk506_1uM.5_Mean","exp2_fk506_1uM.6_Mean","exp3_fk506_1uM.1_Mean","exp3_fk506_1uM.5_Mean"
"1",0,"PH_Akt",1.2717,1.4547,1.6295,1.1564,1.0714,1.0528,1.0031,1.1122,1.4758,1.2313,1.232,1.6191,1.1517,1.3564,1.3394,1.3039,1.2381,1.0862,1.2192,1.3059,1.4716
"2",15,"PH_Akt",1.1021,1.2541,1.4191,1.0539,0.9557,1.0666,1.0455,0.9443,1.3687,1.1066,1.0659,1.621,1.061,1.2935,1.2913,1.4176,1.1765,1.1142,1.2462,1.2487,1.3505
"3",30,"PH_Akt",1.0036,1.1549,1.2494,0.9659,1.0051,1.058,0.9905,0.9195,1.2613,1.1047,1.0637,1.5636,1.0703,1.2121,1.2191,1.3064,1.0883,1.0269,1.1451,1.2133,1.3023
"4",45,"PH_Akt",0.9577,1.0883,1.1584,0.9209,0.9984,1.0256,0.998,0.8596,1.2664,1.1078,0.9708,1.559,1.0164,1.2297,1.2566,1.2413,1.0713,0.9399,1.0752,1.1819,1.3108
"5",60,"PH_Akt",0.9013,1.0568,1.0992,0.9173,0.9711,1.0337,0.9879,0.8404,1.1247,1.0696,0.9376,1.5017,1.0158,1.2075,1.1558,1.26,1.0414,0.9803,1.0905,1.1651,1.2211
"6",75,"PH_Akt",0.9592,1.0769,1.1475,0.9484,0.9575,1.0329,0.9808,0.8081,1.1703,0.9879,0.9524,1.4532,0.9775,1.2175,1.1423,1.2022,1.038,0.9579,1.0662,1.1565,1.2412
"7",90,"PH_Akt",0.9208,1.0609,1.1375,0.8641,0.965,0.9849,0.9379,0.8508,1.0713,1.0692,0.9376,1.4085,0.9783,1.2244,1.1361,1.2309,1.0537,0.9747,1.0882,1.1756,1.2525
"8",105,"PH_Akt",0.9563,1.0366,1.1214,0.9183,0.9514,0.9848,0.9179,0.8429,1.135,1.0447,0.9539,1.4168,0.9933,1.1507,1.1284,1.1486,1.0357,0.9794,1.0454,1.1276,1.1996
"9",120,"PH_Akt",0.9143,1.0405,1.138,0.8527,0.9387,1.0265,0.9747,0.8327,1.1322,1.0472,0.9289,1.3833,0.9768,1.1834,1.1556,1.1469,1.0468,0.9551,1.0615,1.1039,1.2614
"10",135,"PH_Akt",0.8786,1.0546,1.145,0.8505,0.908,1.0654,0.9606,0.8392,1.0222,1.0357,0.9431,1.3619,0.9623,1.187,1.1848,1.1934,0.9744,0.9418,1.0889,1.1042,1.2208
"11",150,"PH_Akt",0.9329,1.0569,1.1606,0.8548,0.9496,1.0844,0.951,0.8202,1.0794,1.0446,0.8944,1.4349,0.9497,1.1721,1.168,1.204,1.0224,0.9662,1.0602,1.112,1.2311
"12",165,"PH_Akt",0.9329,1.0582,1.1322,0.8848,0.9781,1.0857,0.977,0.8358,1.1673,1.1054,0.9508,1.3904,0.9746,1.1121,1.1612,1.1775,1.0241,0.9762,1.0635,1.089,1.1968
"13",180,"PH_Akt",0.9189,1.0514,1.1203,0.8706,0.9488,1.0553,0.949,0.7981,1.0469,0.9684,0.9062,1.4026,0.9465,1.2151,1.1989,1.0955,1.0385,0.993,1.0886,1.0986,1.2326
"14",195,"PH_Akt",0.9171,1.0539,1.1369,0.8723,0.9428,1.0218,0.9233,0.8173,1.1015,1.0199,0.9108,1.4099,0.9548,1.1516,1.1335,1.1579,1.0367,0.9611,1.082,1.0618,1.1993
"15",210,"PH_Akt",0.9213,1.0657,1.1264,0.873,0.9699,0.9722,0.9238,0.8369,1.1417,1.0627,0.9172,1.3904,0.9524,1.1457,1.1417,1.1771,1.007,0.9455,1.0808,1.0879,1.2023
"16",225,"PH_Akt",0.9206,1.0253,1.129,0.8694,0.9364,1.0284,0.9038,0.8233,1.0368,1.0327,0.9025,1.4742,0.9429,1.1581,1.0838,1.1198,1.0361,0.9465,1.0309,1.1044,1.2702
"17",240,"PH_Akt",0.9045,1.0351,1.1783,0.8457,0.9415,0.9974,0.9369,0.8169,1.0228,1.0113,0.8677,1.4498,0.9282,1.1394,1.0997,1.1867,1.0349,0.9438,1.059,1.0807,1.1678
"18",255,"PH_Akt",0.8811,1.0259,1.1684,0.8626,0.9552,0.9786,0.9564,0.8622,1.0826,0.9367,0.9025,1.4059,0.9041,1.2061,1.112,1.1187,1.0102,0.9546,1.0642,1.0957,1.2414
"19",270,"PH_Akt",0.9054,1.0245,1.187,0.8523,0.924,0.9698,0.9421,0.85,1.0817,1.0274,0.9326,1.4503,0.9124,1.1948,1.1544,1.1655,0.9985,0.9362,1.0313,1.1273,1.2618
"20",285,"PH_Akt",0.9099,1.0408,1.1687,0.8728,0.9253,1.0175,0.9342,0.8555,1.1063,1.0555,0.8873,1.4299,0.8961,1.2141,1.1191,1.1533,1.0581,0.9438,1.0434,1.0854,1.2171
"21",300,"PH_Akt",0.9293,1.0563,1.1694,0.8528,0.9309,0.9784,0.9426,0.8674,1.0975,1.0484,0.9075,1.4343,0.8958,1.1964,1.1195,1.0709,1.0016,0.9558,1.0071,1.1448,1.2626
"22",315,"PH_Akt",0.9262,1.0293,1.1797,0.85,0.9487,0.9942,0.9515,0.8695,1.1206,1.0331,0.9367,1.4021,0.8771,1.2109,1.1144,1.088,0.9631,0.9718,1.0398,1.0631,1.1865
"23",330,"PH_Akt",0.8903,1.0388,1.1712,0.8722,0.9336,0.9394,0.9244,0.8709,1.055,1.0807,0.9573,1.3795,0.8995,1.1904,1.0961,1.031,1.0378,0.9663,1.0367,1.0717,1.1987
"24",345,"PH_Akt",0.9238,1.0449,1.103,0.8541,0.9543,0.9725,0.9159,0.8637,1.1086,1.0219,0.8912,1.4571,0.8839,1.2702,1.1192,1.1199,1.0292,0.9721,1.0469,1.0899,1.186
"25",360,"PH_Akt",0.8983,1.0641,1.1132,0.8301,0.9488,0.9315,0.9232,0.856,1.1253,1.0187,0.8893,1.3986,0.9002,1.263,1.1669,1.0822,0.9983,0.9803,1.0525,1.1522,1.2349
"26",375,"PH_Akt",0.8807,1.07,1.1126,0.8632,0.9388,1.0093,0.9216,0.8409,1.0937,1.0387,0.8518,1.4962,0.898,1.2439,1.0812,1.051,0.972,0.9183,1.0392,1.1251,1.1212
"27",390,"PH_Akt",0.8889,1.0704,1.1377,0.8712,0.9551,0.9478,0.9266,0.8347,1.104,1.0468,0.8981,1.4492,0.9205,1.2753,1.1235,1.0538,0.9822,0.9309,1.0516,1.1062,1.1496
"28",405,"PH_Akt",0.8797,1.0587,1.1282,0.8646,0.9484,0.9559,0.9273,0.8315,1.1193,1.0435,0.8946,1.3989,0.895,1.2214,1.1411,1.0813,0.9809,0.9464,1.0615,1.0876,1.1529
"29",420,"PH_Akt",0.8763,1.0691,1.0942,0.8337,0.9377,0.9319,0.9244,0.862,1.0614,1.0428,0.8321,1.4374,0.8852,1.2364,1.087,1.0611,0.9838,0.9042,1.0105,1.0751,1.184
"30",435,"PH_Akt",0.9136,1.0508,1.1263,0.8475,0.9303,0.9743,0.9226,0.9178,1.0524,1.119,0.8879,1.4604,0.8824,1.2719,1.1385,1.0696,1.0045,0.9656,1.0559,1.0685,1.0581
"31",450,"PH_Akt",0.8936,1.0536,1.0825,0.853,0.9448,1.0003,0.9314,0.8853,1.0383,1.0445,0.8959,1.3619,0.9123,1.2246,1.1074,1.012,0.9649,0.9411,1.0411,1.0466,1.1436
"32",465,"PH_Akt",0.8423,1.0196,1.0889,0.805,0.9216,0.9824,0.9068,0.8762,1.0872,1.0042,0.9313,1.3959,0.8802,1.3376,1.1258,1.099,1.0027,0.9169,1.0426,1.0679,1.2032
"33",480,"PH_Akt",0.9097,1.0405,1.093,0.8053,0.9216,0.9467,0.9379,0.8734,1.048,1.046,0.927,1.4375,0.8695,1.2095,1.0849,1.0854,1.0065,0.9555,1.0453,1.0639,1.1597
"34",495,"PH_Akt",0.9557,1.0316,1.1081,0.8546,0.9625,0.9426,0.9357,0.8383,1.0306,1.034,0.8507,1.4085,0.8933,1.2879,1.1364,1.109,1.0199,0.9532,1.0547,1.0478,1.1231
"35",510,"PH_Akt",0.813,1.0117,1.0558,0.8331,0.9717,0.9829,0.9447,0.8717,1.0424,1.0245,0.8071,1.4403,0.8607,1.2438,1.1234,1.1135,0.996,0.9529,1.0393,1.05,1.164
"36",525,"PH_Akt",0.9037,1.0328,1.0918,0.8314,0.9368,0.9547,0.9163,0.8497,1.0631,1.0057,0.908,1.4341,0.8721,1.3339,1.0802,1.1256,0.9867,0.9347,1.0531,1.0759,1.1199
"37",540,"PH_Akt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8721,1.3223,1.1188,1.0861,0.9943,0.9506,1.0644,1.0359,1.1561
"38",555,"PH_Akt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8562,1.3385,1.1304,1.078,0.9768,0.9272,1.0608,1.0459,1.0672
"39",570,"PH_Akt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8749,1.304,1.114,1.1212,0.9907,0.9388,1.0626,1.0712,1.1934
"40",585,"PH_Akt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8557,1.3272,1.1527,1.0771,0.9923,0.9339,1.0532,1.0395,1.063
"41",600,"PH_Akt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8561,1.3209,1.1266,1.0744,0.9947,0.9177,1.0574,1.0628,1.1061
