"","time","iSH2_1_10","PH_1_10","iSH2_1_2","PH_1_2","iSH2_1_3","PH_1_3","iSH2_1_5","PH_1_5","iSH2_1_6","PH_1_6","iSH2_1_7","PH_1_7","iSH2_1_9","PH_1_9","iSH2_2_1","PH_2_1","iSH2_2_2","PH_2_2","iSH2_2_4","PH_2_4","iSH2_2_5","PH_2_5","iSH2_2_6","PH_2_6","iSH2_2_7","PH_2_7","iSH2_2_8","PH_2_8","iSH2_3_5","PH_3_5","iSH2_3_7","PH_3_7","iSH2_3_8","PH_3_8"
"1",15,1.4594,1.2946,1.6132,1.3077,1.2689,1.497,1.4987,1.3137,1.3325,1.1777,1.3751,1.2056,1.5907,1.3979,1.0833,0.8353,0.8378,0.9244,1.067,1.2761,0.9615,1.0582,0.8094,0.8818,0.968,1.0668,1.1598,1.3074,0.9623,1.4888,1.1703,1.257,1.1427,1.4507
"2",30,1.4404,1.3577,1.6563,1.2436,1.3371,1.5201,1.5666,1.27,1.3002,1.1429,1.387,1.1634,1.6689,1.4249,1.2232,0.9153,0.834,0.9356,1.0711,1.2634,0.9736,1.0844,0.815,0.8995,0.9898,1.0831,1.2257,1.3016,0.9383,1.5023,1.1387,1.2641,1.16,1.4022
"3",45,1.5194,1.2862,1.7085,1.2387,1.3848,1.508,1.6461,1.2965,1.3099,1.0774,1.3891,1.1536,1.671,1.4935,1.2923,1.0152,0.8264,0.8954,1.035,1.2217,0.9722,1.0911,0.8238,0.9427,0.9873,1.0522,1.0633,1.2194,0.9398,1.5191,1.1467,1.2606,1.1186,1.4022
"4",60,1.451,1.3693,1.7041,1.2473,1.4548,1.5164,1.6309,1.3479,1.302,1.208,1.3873,1.157,1.6484,1.4087,1.4307,0.7469,0.8483,0.9214,1.0377,1.2243,1.0259,1.1103,0.8103,0.9056,0.9736,1.0573,1.2774,1.3242,0.9369,1.4697,1.1538,1.2732,1.1203,1.3872
"5",75,1.529,1.3168,1.63,1.2697,1.3296,1.487,1.5054,1.3418,1.3593,1.2404,1.4553,1.183,1.721,1.4962,1.1833,0.9375,0.8401,0.9378,1.0707,1.2487,0.9465,1.0819,0.8067,0.8909,0.9659,1.0339,1.1451,1.2226,0.9592,1.5031,1.1522,1.2537,1.1246,1.3819
"6",90,1.4986,1.3316,1.7039,1.2861,1.3651,1.4545,1.6677,1.3616,1.2465,1.0662,1.4137,1.2366,1.5943,1.4143,1.2412,0.8372,0.8885,0.9482,1.1017,1.276,1,1.0848,0.8011,0.8797,0.9888,1.0536,1.1475,1.2264,0.9603,1.516,1.1755,1.2809,1.1283,1.3652
"7",105,1.4832,1.3395,1.7049,1.2245,1.3701,1.4477,1.7727,1.3456,1.325,1.1023,1.4121,1.2052,1.6707,1.4205,1.507,0.7593,0.8534,0.9449,1.0655,1.2521,0.9967,1.1093,0.8091,0.8958,0.9932,1.0604,1.2429,1.2694,0.9548,1.4761,1.165,1.2994,1.1169,1.3768
"8",120,1.5062,1.3325,1.6075,1.2556,1.3628,1.5111,1.6838,1.3042,1.2354,1.1028,1.4239,1.191,1.716,1.4584,1.238,0.8862,0.8655,0.9363,1.0677,1.302,1.0446,1.1306,0.8115,0.8878,0.9983,1.0538,1.2267,1.3065,0.9726,1.5225,1.1759,1.2997,1.1143,1.4079
"9",135,1.5338,1.3728,1.6044,1.2307,1.4302,1.5023,1.6573,1.3721,1.3146,1.1658,1.4338,1.128,1.6695,1.4773,1.2782,0.899,0.8837,0.9381,1.058,1.2848,1.0778,1.1105,0.8326,0.8932,1.0151,1.0823,1.2808,1.3379,0.9938,1.5145,1.15,1.2537,1.1457,1.3829
"10",150,1.5059,1.259,1.6012,1.27,1.3585,1.4379,1.6597,1.3291,1.2565,1.1224,1.4664,1.1583,1.7326,1.5043,1.3065,0.885,0.9061,0.9472,1.1141,1.2999,0.9739,1.0315,0.8367,0.9118,1.0162,1.0588,1.2673,1.3184,0.9759,1.5465,1.1566,1.268,1.1937,1.5009
"11",165,1.6876,1.5143,1.8606,1.4878,1.5493,1.7455,1.8957,1.6142,1.3979,1.2661,1.5364,1.2124,1.8337,1.613,1.1763,0.7956,0.8911,0.8821,1.0923,1.2305,1.075,1.0668,0.8191,0.9038,1.0018,1.0358,1.2082,1.2632,0.9471,1.521,1.1226,1.2612,1.19,1.6114
"12",180,1.6658,1.7323,1.805,1.6428,1.5889,2.1249,1.9241,1.8985,1.4064,1.56,1.4925,1.2685,1.952,2.0208,1.3943,0.8347,0.8769,0.9638,1.0936,1.2649,0.9755,1.0274,0.8361,0.9567,1.0381,1.1509,1.1569,1.2529,1,1.6685,1.1934,1.4862,1.1691,1.7844
"13",195,1.6631,1.8524,1.7819,1.6902,1.5221,2.1678,1.8996,2.1047,1.2468,1.5204,1.4788,1.401,1.9421,1.9887,1.3287,0.8655,0.9191,1.0595,1.079,1.3384,1.0021,1.1483,0.8234,0.9973,1.0616,1.208,1.1112,1.2521,0.9839,1.7605,1.2143,1.5392,1.1966,1.8128
"14",210,1.5808,1.862,1.8461,1.8625,1.3712,2.2609,1.8128,2.0544,1.3042,1.5869,1.419,1.4619,1.7444,1.9518,1.2656,1.055,0.8603,1.1176,1.0534,1.3246,0.9873,1.1719,0.8271,1.0897,1.0779,1.3025,1.1228,1.3533,0.9964,1.9014,1.2156,1.585,1.2318,1.9695
"15",225,1.6532,1.8196,1.6878,1.7334,1.5094,2.2737,1.648,1.7847,1.3556,1.5359,1.5924,1.3962,1.8445,2.1254,1.3049,1.3685,0.879,1.1345,1.0704,1.3907,0.9804,1.2531,0.828,1.1213,1.0612,1.3061,1.0102,1.3119,0.9807,1.8735,1.2376,1.5944,1.23,1.9717
"16",240,1.5608,1.8376,1.7388,1.7624,1.3901,2.2076,1.7438,2.025,1.2889,1.5986,1.4595,1.3842,1.8281,2.1173,1.1859,1.1635,0.8936,1.1809,1.057,1.3865,0.9823,1.2842,0.8371,1.1474,1.0704,1.3327,1.0486,1.3498,1.015,1.9342,1.2043,1.616,1.2506,2.0736
"17",255,1.5353,1.7541,1.7961,1.7874,1.4669,2.0841,1.8016,1.9146,1.2093,1.5635,1.4212,1.398,1.8982,2.1658,1.2785,1.0065,0.8874,1.2754,1.1307,1.4475,1.02,1.2814,0.8501,1.122,1.0317,1.2888,1.1503,1.4354,1.0013,1.9993,1.2091,1.5861,1.2222,2.0751
"18",270,1.541,1.7947,1.8223,1.8452,1.3999,2.0415,1.8035,1.878,1.2314,1.5331,1.4298,1.4223,1.8593,2.1753,1.1982,1.2703,0.9193,1.325,1.0329,1.4381,1.0334,1.3488,0.8656,1.1827,1.0469,1.3756,1.157,1.5095,0.9898,1.9664,1.2249,1.6074,1.2749,2.0876
"19",285,1.5875,1.897,1.7375,1.8745,1.4349,2.1878,1.8316,1.9471,1.3205,1.5792,1.5044,1.3797,1.8256,2.1141,0.8941,1.6706,0.8872,1.3547,1.0327,1.4577,0.9533,1.326,0.8668,1.205,1.0664,1.3649,1.0394,1.4785,0.9966,1.9177,1.2315,1.5979,1.2355,2.1236
"20",300,1.5489,1.8526,1.7132,1.8096,1.3876,2.0879,1.7066,2.0563,1.1985,1.4432,1.4765,1.3642,1.8016,2.1149,0.9616,1.4087,0.8839,1.3287,1.1479,1.5391,1.0091,1.3529,0.8356,1.1829,1.0992,1.4627,1.1088,1.5065,0.9897,1.9544,1.2209,1.5569,1.2678,2.1629
"21",315,1.6104,1.8702,1.7707,1.7626,1.3301,1.9552,1.7382,2.01,1.2488,1.6665,1.3792,1.379,1.7893,2.0965,1.0992,1.5355,0.9165,1.3695,1.0464,1.5063,1.0726,1.3872,0.8865,1.2559,1.0748,1.3948,1.1308,1.5478,1.0199,1.9822,1.2043,1.535,1.2326,2.2056
"22",330,1.5318,1.8121,1.7071,1.8261,1.3689,2.1013,1.6894,1.9318,1.1451,1.5472,1.4297,1.3802,1.7064,1.9731,1.1612,1.3703,0.8914,1.3735,1.0845,1.5213,1.0196,1.3873,0.8536,1.1721,1.1058,1.4264,1.0991,1.5674,0.9842,1.9766,1.2269,1.5145,1.2842,2.1952
