time,value,readout,run,experiment,value_post_inhib_scaled
0,0,PH,1,1,0
15,-0.02492784,PH,1,1,-0.02492784
30,-0.022828654,PH,1,1,-0.022828654
45,-0.016793493,PH,1,1,-0.016793493
60,-0.06717397,PH,1,1,-0.06717397
75,-0.066780373,PH,1,1,-0.066780373
90,-0.0312254,PH,1,1,-0.0312254
105,-0.015350302,PH,1,1,-0.015350302
120,0.005641564,PH,1,1,0.005641564
135,0.073602729,PH,1,1,0.073602729
150,-0.024140645,PH,1,1,-0.024140645
165,-0.003673576,PH,1,1,-0.003673576
180,0.052348465,PH,1,1,0.052348465
195,0.02663343,PH,1,1,0.02663343
210,0.099448964,PH,1,1,0.099448964
225,0.118210443,PH,1,1,0.118210443
240,0.145631068,PH,1,1,0.145631068
255,0.213854631,PH,1,1,0.213854631
270,0.133560745,PH,1,1,0.133560745
285,0.157045395,PH,1,1,0.157045395
300,0.167410129,PH,1,1,0.167410129
315,0.195486749,PH,1,1,0.195486749
330,0.172002099,PH,1,1,0.172002099
345,0.133167148,PH,1,1,0.133167148
360,0.232091315,PH,1,1,0.232091315
375,0.172658095,PH,1,1,0.172658095
390,0.135266334,PH,1,1,0.135266334
405,0.169246917,PH,1,1,0.169246917
420,0.198766728,PH,1,1,0.198766728
435,0.192600367,PH,1,1,0.192600367
450,0.203358699,PH,1,1,0.203358699
465,0.199685122,PH,1,1,0.199685122
480,0.205720283,PH,1,1,0.205720283
495,0.282471792,PH,1,1,0.282471792
510,0.246260824,PH,1,1,0.246260824
525,0.270663868,PH,1,1,0.270663868
540,0.216872212,PH,1,1,0.216872212
555,0.288638153,PH,1,1,0.288638153
570,0.282471792,PH,1,1,0.282471792
585,0.273812648,PH,1,1,0.273812648
600,0.327735502,PH,1,1,0.327735502
615,0.295591708,PH,1,1,0.295591708
630,0.310286014,PH,1,1,0.310286014
645,0.299527683,PH,1,1,0.299527683
660,0.265940698,PH,1,1,0.265940698
675,0.300577276,PH,1,1,0.300577276
690,0.298215691,PH,1,1,0.298215691
705,0.347021779,PH,1,1,0.347021779
720,0.344791393,PH,1,1,0.344791393
735,0.308974023,PH,1,1,0.308974023
750,0.255313566,PH,1,1,0.255313566
765,0.293492522,PH,1,1,0.293492522
780,0.290474941,PH,1,1,0.290474941
795,0.335738651,PH,1,1,0.335738651
